Omar Al-Ali, 1995-01-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Christensen, 1981-12-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Nielsen, 1987-10-15, AKTIV, MOTIONIST, SENIOR
Søren Sørensen, 1974-01-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Sørensen, 1999-08-01, AKTIV, MOTIONIST, SENIOR
Hanne Andersen, 1997-09-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Larsen, 1982-04-11, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Christensen, 2005-05-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Rasmussen, 1981-03-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Andersen, 1984-05-18, PASSIV, MOTIONIST, SENIOR
Anne Hansen, 1992-06-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Christensen, 1972-02-28, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Sørensen, 2003-04-30, AKTIV, MOTIONIST, SENIOR
Jens Jørgensen, 2003-01-08, PASSIV, MOTIONIST, SENIOR
Christian Jensen, 2004-06-28, PASSIV, MOTIONIST, SENIOR
Søren Hansen, 1998-10-30, PASSIV, MOTIONIST, SENIOR
Susanne Hansen, 1975-11-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Pedersen, 1993-03-25, PASSIV, MOTIONIST, SENIOR
Anne Larsen, 2000-07-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 1990-03-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Andersen, 2010-07-05, AKTIV, MOTIONIST, JUNIOR
Thomas Rasmussen, 1998-07-23, AKTIV, MOTIONIST, SENIOR
Peter Christensen, 1992-10-10, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Hansen, 1996-02-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Hansen, 1988-12-02, AKTIV, MOTIONIST, SENIOR
Christian Sørensen, 2000-07-09, PASSIV, MOTIONIST, SENIOR
Peter Andersen, 1973-05-10, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Nielsen, 1989-11-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1980-10-18, PASSIV, MOTIONIST, SENIOR
Thomas Rasmussen, 1994-07-11, PASSIV, MOTIONIST, SENIOR
Jens Pedersen, 1973-11-30, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Jensen, 1985-11-06, AKTIV, MOTIONIST, SENIOR
Anna Nielsen, 2010-12-23, AKTIV, MOTIONIST, JUNIOR
Kirsten Jørgensen, 1974-05-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Hansen, 1990-12-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Christensen, 1984-05-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Jørgensen, 1974-09-13, PASSIV, MOTIONIST, SENIOR
Lars Larsen, 2012-09-19, AKTIV, MOTIONIST, JUNIOR
Lars Andersen, 2010-07-14, AKTIV, MOTIONIST, JUNIOR
Kirsten Larsen, 1992-01-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Rasmussen, 1976-03-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Larsen, 1987-11-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Christensen, 2001-07-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Jensen, 1978-09-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Jørgensen, 1977-12-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Andersen, 1975-03-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Rasmussen, 1976-05-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Christensen, 2013-12-18, AKTIV, MOTIONIST, JUNIOR
Thomas Rasmussen, 2002-10-12, AKTIV, MOTIONIST, SENIOR
Niels Christensen, 1980-05-26, PASSIV, MOTIONIST, SENIOR
Christian Christensen, 2009-06-03, PASSIV, KONKURRENCESVØMMER, JUNIOR
Peter Larsen, 1995-04-16, PASSIV, MOTIONIST, SENIOR
Henrik Jensen, 1991-07-20, PASSIV, MOTIONIST, SENIOR
Søren Hansen, 1988-06-30, PASSIV, MOTIONIST, SENIOR
Maria Larsen, 1980-08-11, PASSIV, MOTIONIST, SENIOR
Michael Andersen, 2000-12-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Hansen, 1980-03-14, AKTIV, MOTIONIST, SENIOR
Mette Hansen, 1995-06-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Pedersen, 1990-02-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Sørensen, 2000-03-15, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Jørgensen, 2011-04-24, AKTIV, MOTIONIST, JUNIOR
Michael Pedersen, 2007-03-02, PASSIV, KONKURRENCESVØMMER, JUNIOR
Marianne Pedersen, 1976-03-31, AKTIV, MOTIONIST, SENIOR
Michael Jensen, 1999-01-20, AKTIV, MOTIONIST, SENIOR
Søren Jensen, 1988-08-21, PASSIV, MOTIONIST, SENIOR
Christian Pedersen, 1997-12-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Hansen, 2004-02-15, PASSIV, MOTIONIST, SENIOR
Anna Nielsen, 1973-09-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Jensen, 1970-09-17, AKTIV, MOTIONIST, SENIOR
Helle Jensen, 2004-10-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Christensen, 2005-03-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Sørensen, 2006-03-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 1986-10-27, PASSIV, MOTIONIST, SENIOR
Mette Andersen, 1975-01-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Christensen, 1984-11-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Susanne Rasmussen, 2010-11-22, PASSIV, KONKURRENCESVØMMER, JUNIOR
Peter Rasmussen, 2006-07-15, PASSIV, MOTIONIST, SENIOR
Anna Larsen, 2005-05-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Nielsen, 1975-11-24, AKTIV, MOTIONIST, SENIOR
Christian Hansen, 1979-12-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Sørensen, 1987-06-17, AKTIV, MOTIONIST, SENIOR
Peter Pedersen, 2009-08-10, AKTIV, KONKURRENCESVØMMER, JUNIOR
Henrik Pedersen, 2007-03-11, AKTIV, MOTIONIST, JUNIOR
Helle Andersen, 2009-02-09, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anne Jensen, 1970-02-18, PASSIV, MOTIONIST, SENIOR
Anna Rasmussen, 1996-07-19, PASSIV, MOTIONIST, SENIOR
Marianne Andersen, 1988-01-05, AKTIV, MOTIONIST, SENIOR
Mette Rasmussen, 2000-07-02, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Hansen, 2013-02-24, PASSIV, KONKURRENCESVØMMER, JUNIOR
Helle Nielsen, 1991-08-01, PASSIV, MOTIONIST, SENIOR
Niels Hansen, 1975-10-25, AKTIV, MOTIONIST, SENIOR
Kirsten Hansen, 2010-03-14, PASSIV, KONKURRENCESVØMMER, JUNIOR
Michael Sørensen, 1989-03-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Jørgensen, 2007-08-08, PASSIV, KONKURRENCESVØMMER, JUNIOR
Thomas Rasmussen, 1996-03-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 1974-05-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Jørgensen, 2005-05-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Jensen, 2012-12-21, AKTIV, KONKURRENCESVØMMER, JUNIOR
Marianne Larsen, 1972-10-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jørgensen, 1971-10-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Hansen, 1983-01-09, AKTIV, MOTIONIST, SENIOR
Mette Rasmussen, 2004-06-30, AKTIV, MOTIONIST, SENIOR
Peter Jensen, 1981-04-28, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Andersen, 1977-05-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Sørensen, 1974-04-27, AKTIV, MOTIONIST, SENIOR
Lene Nielsen, 1997-11-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Christensen, 2004-10-24, AKTIV, MOTIONIST, SENIOR
Helle Hansen, 1990-07-05, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Hansen, 1997-04-30, AKTIV, MOTIONIST, SENIOR
Christian Rasmussen, 2002-08-18, AKTIV, MOTIONIST, SENIOR
Peter Jørgensen, 2004-12-24, PASSIV, MOTIONIST, SENIOR
Mette Christensen, 2010-12-08, PASSIV, KONKURRENCESVØMMER, JUNIOR
Marianne Andersen, 2007-07-07, AKTIV, MOTIONIST, JUNIOR
Lars Nielsen, 2010-05-20, PASSIV, KONKURRENCESVØMMER, JUNIOR
Thomas Hansen, 1988-01-11, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Larsen, 2005-05-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 2005-08-22, AKTIV, MOTIONIST, SENIOR
Marianne Rasmussen, 1997-11-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 2000-10-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Hansen, 1981-06-01, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Rasmussen, 2009-07-09, AKTIV, MOTIONIST, JUNIOR
Hanne Larsen, 2010-05-13, AKTIV, KONKURRENCESVØMMER, JUNIOR
Niels Hansen, 2000-03-02, AKTIV, MOTIONIST, SENIOR
Maria Pedersen, 1980-07-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Hansen, 1987-09-02, AKTIV, MOTIONIST, SENIOR
Christian Hansen, 1981-03-10, PASSIV, MOTIONIST, SENIOR
Lars Rasmussen, 1986-04-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Larsen, 1999-02-11, AKTIV, MOTIONIST, SENIOR
Anna Pedersen, 1985-10-05, AKTIV, MOTIONIST, SENIOR
Søren Hansen, 1975-12-05, PASSIV, MOTIONIST, SENIOR
Søren Jørgensen, 2004-08-23, AKTIV, MOTIONIST, SENIOR
Anna Sørensen, 1981-11-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Pedersen, 1985-01-01, AKTIV, MOTIONIST, SENIOR
Thomas Jørgensen, 1999-09-10, AKTIV, MOTIONIST, SENIOR
Niels Jensen, 1976-03-15, PASSIV, MOTIONIST, SENIOR
Niels Larsen, 1994-07-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Jørgensen, 1998-07-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Rasmussen, 2009-03-30, AKTIV, MOTIONIST, JUNIOR
Maria Larsen, 1989-02-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Jensen, 2007-10-25, PASSIV, MOTIONIST, JUNIOR
Michael Hansen, 1987-06-22, PASSIV, MOTIONIST, SENIOR
Helle Rasmussen, 1977-12-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Nielsen, 1978-05-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 1997-06-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Pedersen, 1996-06-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Larsen, 1984-06-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Jensen, 1983-11-10, AKTIV, MOTIONIST, SENIOR
Mette Hansen, 2013-06-25, PASSIV, MOTIONIST, JUNIOR
Hanne Rasmussen, 1980-05-27, AKTIV, MOTIONIST, SENIOR
Marianne Hansen, 1996-09-04, PASSIV, MOTIONIST, SENIOR
Anne Sørensen, 1990-01-20, PASSIV, MOTIONIST, SENIOR
Jan Sørensen, 1991-01-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Jensen, 1995-07-16, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jensen, 1989-12-14, PASSIV, MOTIONIST, SENIOR
Christian Sørensen, 2008-02-11, AKTIV, MOTIONIST, JUNIOR
Jens Jensen, 2011-11-30, PASSIV, KONKURRENCESVØMMER, JUNIOR
Hanne Larsen, 2008-11-22, AKTIV, KONKURRENCESVØMMER, JUNIOR
Maria Sørensen, 1996-05-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Rasmussen, 2008-04-22, AKTIV, MOTIONIST, JUNIOR
Mette Andersen, 1985-01-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Sørensen, 1977-11-04, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Christensen, 1996-01-24, AKTIV, MOTIONIST, SENIOR
Jens Jørgensen, 2007-05-14, AKTIV, MOTIONIST, JUNIOR
Thomas Sørensen, 2004-06-05, PASSIV, MOTIONIST, SENIOR
Mette Christensen, 2005-03-30, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Hansen, 2002-07-21, AKTIV, MOTIONIST, SENIOR
Michael Sørensen, 1997-05-14, AKTIV, MOTIONIST, SENIOR
Jan Pedersen, 1988-07-23, PASSIV, MOTIONIST, SENIOR
Henrik Jørgensen, 2007-07-07, AKTIV, MOTIONIST, JUNIOR
Michael Sørensen, 1999-10-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Søren Pedersen, 1999-12-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Jensen, 1999-08-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Sørensen, 2006-12-27, PASSIV, MOTIONIST, SENIOR
Mette Larsen, 1979-01-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 1992-04-03, AKTIV, MOTIONIST, SENIOR
Susanne Nielsen, 1992-07-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Nielsen, 1985-09-02, PASSIV, MOTIONIST, SENIOR
Niels Rasmussen, 1970-01-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1985-03-03, AKTIV, MOTIONIST, SENIOR
Henrik Larsen, 2003-10-13, PASSIV, MOTIONIST, SENIOR
Anne Jørgensen, 1994-03-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Larsen, 2002-12-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Jørgensen, 1993-12-25, AKTIV, MOTIONIST, SENIOR
Marianne Hansen, 2013-08-03, AKTIV, KONKURRENCESVØMMER, JUNIOR
Susanne Christensen, 1973-03-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Pedersen, 2004-07-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Andersen, 1999-10-17, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Andersen, 2002-04-09, PASSIV, MOTIONIST, SENIOR
Maria Nielsen, 2007-10-22, AKTIV, MOTIONIST, JUNIOR
Thomas Hansen, 1975-05-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Andersen, 1995-02-27, AKTIV, MOTIONIST, SENIOR
Lars Nielsen, 2012-10-13, PASSIV, KONKURRENCESVØMMER, JUNIOR
Peter Larsen, 2004-01-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Sørensen, 1994-12-25, AKTIV, MOTIONIST, SENIOR
Lars Sørensen, 1975-02-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Sørensen, 2000-12-03, AKTIV, MOTIONIST, SENIOR
Peter Jensen, 1979-07-25, PASSIV, MOTIONIST, SENIOR
Michael Jørgensen, 1987-03-24, AKTIV, MOTIONIST, SENIOR
Anne Jensen, 2000-06-17, AKTIV, MOTIONIST, SENIOR
Susanne Jensen, 1976-07-07, AKTIV, MOTIONIST, SENIOR
Christian Jensen, 1986-04-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Sørensen, 1981-02-04, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Christensen, 1984-07-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 1997-12-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Larsen, 1981-05-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Andersen, 1984-01-22, AKTIV, MOTIONIST, SENIOR
Niels Larsen, 2004-10-18, PASSIV, MOTIONIST, SENIOR
Maria Christensen, 1974-10-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Hansen, 1988-07-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Rasmussen, 2011-02-01, AKTIV, MOTIONIST, JUNIOR
Hanne Andersen, 1976-12-18, AKTIV, MOTIONIST, SENIOR
Anne Larsen, 1996-08-08, PASSIV, MOTIONIST, SENIOR
Michael Andersen, 1974-09-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Jensen, 1981-11-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Pedersen, 1999-11-22, AKTIV, MOTIONIST, SENIOR
Michael Pedersen, 1986-05-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Pedersen, 1983-08-16, PASSIV, MOTIONIST, SENIOR
Michael Nielsen, 2011-02-14, AKTIV, MOTIONIST, JUNIOR
Henrik Andersen, 2005-05-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Andersen, 1979-10-05, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Rasmussen, 1991-06-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Jensen, 1979-06-27, PASSIV, MOTIONIST, SENIOR
Thomas Christensen, 2011-10-12, PASSIV, MOTIONIST, JUNIOR
Søren Nielsen, 1976-02-08, PASSIV, MOTIONIST, SENIOR
Marianne Andersen, 2012-08-14, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anna Jørgensen, 1975-11-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Jensen, 1981-03-31, PASSIV, MOTIONIST, SENIOR
Søren Hansen, 2007-06-26, AKTIV, KONKURRENCESVØMMER, JUNIOR
Marianne Andersen, 1989-08-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Larsen, 2011-04-20, AKTIV, KONKURRENCESVØMMER, JUNIOR
Mette Christensen, 2000-01-18, PASSIV, MOTIONIST, SENIOR
Hanne Larsen, 1974-05-30, PASSIV, MOTIONIST, SENIOR
Hanne Pedersen, 1991-03-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Christensen, 2011-07-18, AKTIV, MOTIONIST, JUNIOR
Helle Jørgensen, 2001-10-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Andersen, 1991-04-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Christensen, 1971-07-23, PASSIV, MOTIONIST, SENIOR
Niels Hansen, 1983-12-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 2011-02-20, PASSIV, MOTIONIST, JUNIOR
Kirsten Hansen, 2004-03-04, PASSIV, MOTIONIST, SENIOR
Søren Andersen, 1985-05-14, PASSIV, MOTIONIST, SENIOR
Anna Christensen, 1999-11-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1980-07-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Rasmussen, 1972-10-14, PASSIV, MOTIONIST, SENIOR
Jan Sørensen, 1972-11-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Nielsen, 2004-02-27, AKTIV, MOTIONIST, SENIOR
Maria Jørgensen, 2003-10-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 2002-06-21, AKTIV, MOTIONIST, SENIOR
Susanne Sørensen, 2003-11-02, PASSIV, MOTIONIST, SENIOR
Søren Pedersen, 1976-09-04, PASSIV, MOTIONIST, SENIOR
Jan Christensen, 1982-03-17, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Nielsen, 2007-09-03, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lars Pedersen, 1996-06-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Jensen, 2007-03-23, AKTIV, KONKURRENCESVØMMER, JUNIOR
Michael Jørgensen, 1989-04-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Rasmussen, 1982-05-20, AKTIV, MOTIONIST, SENIOR
Mette Larsen, 1998-01-08, PASSIV, MOTIONIST, SENIOR
Lene Christensen, 2006-09-17, PASSIV, MOTIONIST, SENIOR
Helle Larsen, 2012-08-11, PASSIV, MOTIONIST, JUNIOR
Jan Sørensen, 1989-08-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Hansen, 2005-07-15, AKTIV, MOTIONIST, SENIOR
Anne Jensen, 1978-10-12, PASSIV, MOTIONIST, SENIOR
Anne Rasmussen, 1977-03-20, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Christensen, 2013-05-26, PASSIV, MOTIONIST, JUNIOR
Mette Christensen, 2012-01-22, PASSIV, KONKURRENCESVØMMER, JUNIOR
Michael Nielsen, 1975-10-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Sørensen, 1998-03-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Nielsen, 1985-08-07, AKTIV, MOTIONIST, SENIOR
Kirsten Hansen, 1996-08-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1971-09-12, AKTIV, MOTIONIST, SENIOR
Peter Pedersen, 1989-07-08, PASSIV, MOTIONIST, SENIOR
Henrik Nielsen, 1978-02-19, AKTIV, MOTIONIST, SENIOR
Henrik Christensen, 2007-08-31, AKTIV, MOTIONIST, JUNIOR
Thomas Sørensen, 2001-07-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Jørgensen, 1993-01-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Jørgensen, 1970-02-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1980-12-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Jørgensen, 1973-09-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 2004-04-19, PASSIV, MOTIONIST, SENIOR
Søren Nielsen, 1998-07-08, PASSIV, MOTIONIST, SENIOR
Maria Andersen, 1986-11-28, AKTIV, MOTIONIST, SENIOR
Thomas Sørensen, 1999-10-12, AKTIV, MOTIONIST, SENIOR
Susanne Rasmussen, 1986-09-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Nielsen, 1978-12-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Jensen, 2004-02-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Andersen, 1982-01-01, PASSIV, MOTIONIST, SENIOR
Jens Andersen, 2009-04-27, AKTIV, MOTIONIST, JUNIOR
Peter Andersen, 2007-09-06, AKTIV, MOTIONIST, JUNIOR
Lene Nielsen, 1990-03-30, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Larsen, 1988-03-28, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Jensen, 1980-02-04, PASSIV, MOTIONIST, SENIOR
Thomas Jensen, 1984-03-08, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Rasmussen, 1972-07-09, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Nielsen, 1995-04-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Sørensen, 1989-04-27, AKTIV, MOTIONIST, SENIOR
Susanne Jørgensen, 2004-09-05, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Hansen, 1971-10-31, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Pedersen, 1992-07-19, PASSIV, MOTIONIST, SENIOR
Anne Hansen, 1997-04-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1998-12-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Jensen, 1997-04-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Rasmussen, 1999-11-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Christensen, 2006-07-02, PASSIV, MOTIONIST, SENIOR
Søren Larsen, 1971-07-08, PASSIV, MOTIONIST, SENIOR
Anne Jensen, 2008-07-30, PASSIV, MOTIONIST, JUNIOR
Susanne Hansen, 1984-05-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Sørensen, 2005-03-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Søren Sørensen, 2011-05-29, PASSIV, KONKURRENCESVØMMER, JUNIOR
Søren Jørgensen, 2005-03-02, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Pedersen, 1991-10-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Christensen, 1978-12-29, AKTIV, MOTIONIST, SENIOR
Christian Andersen, 1975-04-01, PASSIV, MOTIONIST, SENIOR
Lene Jørgensen, 2009-05-12, AKTIV, KONKURRENCESVØMMER, JUNIOR
Henrik Pedersen, 1971-07-21, AKTIV, MOTIONIST, SENIOR
Helle Sørensen, 2001-05-06, PASSIV, MOTIONIST, SENIOR
Marianne Larsen, 2013-12-16, PASSIV, KONKURRENCESVØMMER, JUNIOR
Maria Rasmussen, 1990-05-12, AKTIV, MOTIONIST, SENIOR
Lene Rasmussen, 1989-12-22, PASSIV, MOTIONIST, SENIOR
Kirsten Pedersen, 1982-08-28, PASSIV, MOTIONIST, SENIOR
Jan Christensen, 1979-02-06, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Sørensen, 1997-04-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jørgensen, 2000-05-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Nielsen, 1998-10-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Christensen, 1981-03-08, PASSIV, MOTIONIST, SENIOR
Susanne Andersen, 2004-02-19, AKTIV, MOTIONIST, SENIOR
Jens Jørgensen, 1990-07-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Jørgensen, 1990-11-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Anna Larsen, 1996-03-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Nielsen, 2011-03-25, PASSIV, KONKURRENCESVØMMER, JUNIOR
Henrik Larsen, 2005-07-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Jensen, 2009-02-11, PASSIV, MOTIONIST, JUNIOR
Lars Christensen, 1971-11-28, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Larsen, 1973-08-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Jørgensen, 2002-11-05, PASSIV, MOTIONIST, SENIOR
Jan Larsen, 2000-09-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 1975-12-17, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Larsen, 2003-05-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Jensen, 1988-08-05, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Larsen, 2001-02-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Larsen, 1987-09-04, PASSIV, MOTIONIST, SENIOR
Lars Hansen, 2004-10-23, AKTIV, MOTIONIST, SENIOR
Maria Sørensen, 2009-06-06, AKTIV, KONKURRENCESVØMMER, JUNIOR
Kirsten Hansen, 1986-09-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Rasmussen, 1989-05-16, AKTIV, MOTIONIST, SENIOR
Jens Rasmussen, 1970-09-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 2002-03-22, PASSIV, MOTIONIST, SENIOR
